Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Number of people at station 0 at arrival,Number of people in queue at station 0 at arrival,Number of active servers in station 0,Number of people at station 1 at arrival,Number of people in queue at station 1 at arrival,Number of active servers in station 1,Time of start of service,Departure time,Wait time,
0,14.4413,1,1,0,1,0,8,0,0,2,25.5984,31.5848,11.1571,
1,29.2449,2,2,0,1,0,8,1,0,2,40.486,46.1971,11.241,
2,79.8454,1,7,0,1,0,8,0,0,2,88.0324,93.6832,8.18706,
3,81.9198,2,8,0,2,0,8,0,0,2,91.4692,97.3493,9.54939,
4,227.404,1,22,0,1,0,5,0,0,1,235.959,240.689,8.55464,
5,236.874,2,23,0,1,0,5,1,0,1,248.767,253.53,11.893,
6,244.863,2,24,0,2,0,5,0,0,1,255.231,259.085,10.3674,
7,351.437,1,35,0,1,0,5,0,0,1,363.649,366.793,12.2118,
8,356.414,2,35,0,2,0,5,0,0,1,367.376,376.259,10.9622,
9,370.642,2,37,0,1,0,5,1,0,1,381.897,389.09,11.2549,
10,374.884,3,37,0,2,0,5,1,0,1,389.09,393.98,14.2059,
11,391.664,2,39,0,1,0,5,1,0,1,401.02,404.742,9.35654,
12,412.4,1,41,0,1,0,5,0,0,1,421.828,426.308,9.42847,
13,433.853,1,43,0,1,0,5,0,0,1,443.252,447.559,9.39923,
14,468.609,1,46,0,1,0,6,0,0,2,479.177,482.974,10.5677,
15,475.893,2,47,0,2,0,6,0,0,2,486.633,491.048,10.7398,
16,477.51,3,47,0,3,0,6,0,0,2,488.363,496.34,10.8527,
17,479.287,4,47,0,3,0,6,1,0,2,491.048,497.137,11.7613,
18,482.911,5,48,0,4,0,6,1,0,2,496.34,500.67,13.4299,
19,492.936,4,49,0,1,0,6,3,1,2,504.579,508.186,11.6432,
20,496.649,4,49,0,2,0,6,2,0,2,505.841,509.266,9.19165,
21,497.003,5,49,0,3,0,6,2,0,2,508.186,514.805,11.1828,
22,498.832,5,49,0,4,0,6,1,0,2,509.266,515.09,10.4334,
23,507.949,5,50,0,1,0,6,4,2,2,516.455,523.948,8.50546,
24,512.728,4,51,0,2,0,6,2,0,2,522.675,529.55,9.94714,
25,545.669,1,54,0,1,0,6,0,0,2,557.88,561.952,12.2118,
26,548.786,2,54,0,2,0,6,0,0,2,558.116,561.466,9.3299,
27,581.011,1,58,0,1,0,6,0,0,2,591.134,595.884,10.1231,
28,581.342,2,58,0,2,0,6,0,0,2,593.081,597.154,11.7395,
29,608.927,1,60,0,1,0,6,0,0,3,619.992,623.997,11.065,
30,611.93,2,61,0,2,0,6,0,0,3,621.453,625.504,9.52252,
31,618.602,3,61,0,3,0,6,0,0,3,629.664,635.26,11.0623,
32,622.111,4,62,0,2,0,6,2,0,4,632.851,640.043,10.7398,
33,634.77,3,63,0,1,0,9,2,0,4,645.972,651.056,11.2028,
34,646.305,2,64,0,1,0,9,1,0,4,658.543,663.398,12.2382,
35,652.116,2,65,0,2,0,9,0,0,4,662.949,667.349,10.8331,
36,652.814,3,65,0,3,0,9,0,0,4,663.622,669.479,10.8074,
37,653.289,4,65,0,4,0,9,0,0,4,662.387,666.542,9.09821,
38,654.063,5,65,0,5,0,9,0,0,4,662.243,667.74,8.18066,
39,664.322,5,66,0,1,0,9,4,0,4,673.682,679.021,9.36011,
40,671.792,2,67,0,2,0,9,0,0,4,681.191,685.3,9.39923,
41,673.342,3,67,0,3,0,9,0,0,4,681.836,687.578,8.49365,
42,673.616,4,67,0,4,0,9,0,0,4,684.424,688.142,10.8074,
43,678.036,5,67,0,4,0,9,1,0,4,686.544,690.036,8.50818,
44,680.472,5,68,0,5,0,9,0,0,4,689.563,696.433,9.09106,
45,708.774,1,70,0,1,0,9,0,0,4,717.742,722.826,8.96777,
46,723.689,1,72,0,1,0,9,0,0,4,733.529,739.409,9.83972,
47,752.659,1,75,0,1,0,9,0,0,4,761.681,768.629,9.02203,
48,754.658,2,75,0,2,0,9,0,0,4,765.605,770.299,10.9468,
49,759.182,3,75,0,3,0,9,0,0,4,767.157,772.799,7.9751,
50,764.181,4,76,0,3,0,9,1,0,4,774.921,781.058,10.7398,
51,778.231,2,77,0,1,0,9,1,0,4,790.373,795.309,12.1417,
52,792.866,2,79,0,1,0,9,1,0,4,801.961,806.416,9.09521,
53,795.851,2,79,0,2,0,9,0,0,4,807.744,810.302,11.8929,
54,805.724,3,80,0,2,0,9,1,0,4,815.564,819.569,9.83972,
55,816.452,2,81,0,1,0,9,1,0,4,826.943,835.607,10.4913,
56,817.08,3,81,0,2,0,9,1,0,4,829.319,834.402,12.2382,
57,826.752,3,82,0,3,0,9,0,0,4,836.636,842.378,9.88348,
58,827.383,4,82,0,3,0,9,1,0,4,838.624,842.598,11.241,
59,858.969,1,85,0,1,0,9,0,0,4,872.628,876.97,13.659,
60,889.618,1,88,0,1,0,9,0,0,5,899.646,903.62,10.028,
61,928.735,1,92,0,1,0,9,0,0,5,937.358,941.143,8.62366,
62,931.694,2,93,0,2,0,9,0,0,5,940.304,943.797,8.60999,
63,935.469,3,93,0,3,0,9,0,0,5,947.322,952.048,11.8529,
64,938.575,4,93,0,3,0,9,1,0,5,947.274,950.418,8.69904,
65,957.444,1,95,0,1,0,9,0,0,5,966.368,971.761,8.92444,
66,958.896,2,95,0,2,0,9,0,0,5,969.843,973.878,10.9468,
67,967.722,3,96,0,2,0,9,1,0,5,982.988,986.295,15.2654,
68,997.124,1,99,0,1,0,9,0,0,5,1008.8,1012.87,11.6721,
69,1016.61,1,101,0,1,0,9,0,0,5,1028.25,1033.92,11.6432,
70,1027,2,102,0,2,0,9,0,0,5,1036.91,1040.99,9.91577,
71,1070.43,1,107,0,1,0,9,0,0,5,1078.97,1082.33,8.53821,
72,1074.73,2,107,0,2,0,9,0,0,5,1085.63,1092.82,10.8971,
73,1077.95,3,107,0,3,0,9,0,0,5,1088.85,1096.8,10.8971,
74,1129.9,1,112,0,1,0,9,0,0,4,1141.75,1145.82,11.8477,
75,1132.34,2,113,0,2,0,9,0,0,4,1143.54,1150.16,11.2028,
76,1137.17,3,113,0,3,0,9,0,0,4,1148.68,1151.79,11.5004,
77,1144.05,4,114,0,2,0,9,2,0,4,1155.1,1160.73,11.0453,
78,1154.5,2,115,0,2,0,9,0,0,4,1163.79,1169.77,9.28467,
79,1169,2,116,0,1,0,9,1,0,4,1178.1,1182.48,9.09521,
80,1173.23,2,117,0,2,0,9,0,0,4,1182.01,1186.35,8.78198,
81,1217.57,1,121,0,1,0,9,0,0,3,1226.9,1232.31,9.32983,
82,1249.61,1,124,0,1,0,9,0,0,3,1261.16,1265.53,11.5503,
83,1266.47,1,126,0,1,0,9,0,0,3,1276.84,1282.71,10.3674,
84,1320.82,1,132,0,1,0,9,0,0,3,1330.86,1334.89,10.0382,
85,1326.03,2,132,0,2,0,9,0,0,3,1334.96,1341.61,8.92444,
86,1356.02,1,135,0,1,0,8,0,0,3,1364.72,1370.55,8.69897,
87,1370.53,2,137,0,1,0,8,1,0,3,1382.86,1388.24,12.3219,
88,1370.56,2,137,0,2,0,8,0,0,3,1382.99,1387.43,12.4258,
89,1381.07,3,138,0,3,0,8,0,0,3,1391.83,1396.77,10.7626,
90,1392.91,2,139,0,1,0,8,1,0,3,1405.57,1413.38,12.6554,
91,1401.03,2,140,0,2,0,8,0,0,3,1411.79,1416.04,10.7626,
92,1409.13,3,140,0,2,0,8,1,0,3,1419.82,1425.46,10.6895,
93,1413.35,4,141,0,2,0,8,2,0,3,1422.04,1428.22,8.69165,
94,1458.86,1,1,1,1,0,8,0,0,2,1468.63,1472.2,9.76843,
95,1478.84,1,3,1,1,0,8,0,0,2,1488.59,1494.23,9.74939,
96,1488.03,2,4,1,2,0,8,0,0,2,1497.84,1503.65,9.81592,
97,1573.79,1,13,1,1,0,5,0,0,1,1583.74,1587.05,9.94714,
98,1613.79,1,17,1,1,0,5,0,0,1,1625.09,1628.25,11.2952,
99,1627.14,2,18,1,1,0,5,1,0,1,1637.12,1642.93,9.98413,
100,1683.7,1,24,1,1,0,5,0,0,1,1693.26,1700.45,9.5636,
101,1708.54,1,26,1,1,0,5,0,0,1,1718.38,1723.41,9.8446,
102,1774.88,1,33,1,1,0,5,0,0,1,1783.98,1787.8,9.09521,
103,1810.25,1,37,1,1,0,5,0,0,1,1820.09,1824.43,9.8374,
104,1813.21,2,37,1,2,0,5,0,0,1,1824.85,1829.03,11.6432,
105,1836.52,1,39,1,1,0,5,0,0,1,1845.74,1851.51,9.21582,
106,1845.18,2,40,1,2,0,5,0,0,1,1853.52,1857.82,8.33374,
107,1848.05,3,40,1,2,0,5,1,0,1,1866.26,1873.75,18.2058,
108,1850.66,4,41,1,3,0,5,1,0,1,1860.02,1866.26,9.36011,
109,1873.08,2,43,1,1,0,5,1,0,1,1882.47,1887.06,9.39929,
110,1876.65,2,43,1,2,0,5,0,0,1,1887.06,1890.63,10.413,
111,1880.09,3,44,1,3,0,5,0,0,1,1890.63,1896.98,10.5369,
112,1886.14,4,44,1,3,0,5,1,0,1,1897.05,1903.04,10.9092,
113,1888.76,4,44,1,3,0,5,1,0,1,1897.95,1904.45,9.19165,
114,1904.82,1,46,1,1,0,6,0,0,2,1913.33,1921.28,8.50818,
115,1916.29,2,47,1,1,0,6,1,0,2,1924.71,1930.73,8.41614,
116,1944.73,1,50,1,1,0,6,0,0,2,1953.22,1957.5,8.49365,
117,1969.61,1,52,1,1,0,6,0,0,2,1981.17,1988.66,11.5598,
118,1983.65,2,54,1,1,0,6,1,0,2,1992.42,1998.1,8.76636,
119,1994.2,2,55,1,1,0,6,1,0,2,2004.18,2008.49,9.98413,
