Customer,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,9.6744,1,0,0,0,9.6744,11.0572,0,
1,26.8099,1,0,2,0,26.8099,33.1025,0,
2,32.992,2,0,3,0,33.1025,35.7834,0.110497,
3,45.1842,1,0,4,0,45.1842,52.3876,0,
4,60.7398,1,0,6,0,60.7398,66.2045,0,
5,77.1375,1,0,7,0,77.1375,102.591,0,
6,99.9694,2,0,9,0,102.591,104.986,2.62124,
7,104.229,2,0,10,0,104.986,109.658,0.756538,
8,107.989,2,0,10,0,109.658,119.043,1.66959,
9,110.116,2,0,11,0,119.043,132.204,8.92708,
10,112.233,3,1,11,0,132.204,144.958,19.971,
11,116.217,4,2,11,0,144.958,150.289,28.7401,
12,120.691,4,2,12,0,150.289,153.498,29.598,
13,121.643,5,3,12,0,153.498,165.448,31.8548,
14,155.657,2,0,15,0,165.448,169.72,9.79111,
15,159.704,3,1,15,0,169.72,171.12,10.016,
16,161.124,4,2,16,0,171.12,171.301,9.99582,
17,168.639,4,2,16,0,171.301,176.647,2.66193,
18,199.043,1,0,19,0,199.043,204.427,0,
19,215.075,1,0,21,0,215.075,218.025,0,
20,218.991,1,0,21,0,218.991,223.632,0,
21,224.78,1,0,22,0,224.78,226.036,0,
22,255.058,1,0,25,0,255.058,263.634,0,
23,262.725,2,0,26,0,263.634,263.693,0.909668,
24,270.908,1,0,27,0,270.908,273.317,0,
25,284.757,1,0,28,0,284.757,286.837,0,
26,298.346,1,0,29,0,298.346,304.008,0,
27,303.987,2,0,30,0,304.008,308.586,0.0213623,
28,316.357,1,0,31,0,316.357,316.811,0,
29,318.383,1,0,31,0,318.383,321.93,0,
30,323.824,1,0,32,0,323.824,325.721,0,
31,324.195,2,0,32,0,325.721,327.281,1.52649,
32,375.405,1,0,37,0,375.405,377.052,0,
33,375.705,2,0,37,0,377.052,391.115,1.34738,
34,401.569,1,0,40,0,401.569,410.378,0,
35,406.195,2,0,40,0,410.378,418.678,4.18314,
36,409.26,3,1,40,0,418.678,421.105,9.41821,
37,414.933,3,1,41,0,421.105,426.076,6.1716,
38,421.59,2,0,42,0,426.076,431.207,4.48575,
39,421.808,3,1,42,0,431.207,433.794,9.39941,
40,450.52,1,0,45,0,450.52,456.425,0,
41,490.672,1,0,49,0,490.672,491.467,0,
42,495.304,1,0,49,0,495.304,497.969,0,
43,514.735,1,0,51,0,514.735,532.349,0,
44,521.664,2,0,52,0,532.349,534.548,10.6841,
45,522.074,3,1,52,0,534.548,538.166,12.4742,
46,528.586,4,2,52,0,538.166,550.406,9.58026,
47,553.782,1,0,55,0,553.782,558.671,0,
48,569.662,1,0,56,0,569.662,583.992,0,
49,577.615,2,0,57,0,583.992,591.37,6.37671,
50,590.918,2,0,59,0,591.37,630.261,0.451721,
51,616.045,2,0,61,0,630.261,633.585,14.2159,
52,618.331,3,1,61,0,633.585,635.807,15.2544,
53,631.381,3,1,63,0,635.807,639.345,4.4267,
54,640.27,1,0,64,0,640.27,644.069,0,
55,640.274,2,0,64,0,644.069,645.345,3.79498,
56,664.475,1,0,66,0,664.475,684.671,0,
57,665.073,2,0,66,0,684.671,688.851,19.5982,
58,674.138,3,1,67,0,688.851,700.137,14.7131,
59,679.171,4,2,67,0,700.137,715.634,20.966,
60,703.8,2,0,70,0,715.634,717.496,11.8344,
61,704.262,3,1,70,0,717.496,721.602,13.2341,
62,721.128,2,0,72,0,721.602,735.247,0.473511,
63,734.163,2,0,73,0,735.247,740.813,1.08405,
64,738.56,2,0,73,0,740.813,741.292,2.25311,
65,745.162,1,0,74,0,745.162,748.087,0,
66,750.308,1,0,75,0,750.308,750.785,0,
67,760.726,1,0,76,0,760.726,761.429,0,
68,769.32,1,0,76,0,769.32,770.666,0,
69,776.05,1,0,77,0,776.05,776.488,0,
70,790.675,1,0,79,0,790.675,794.044,0,
71,843.343,1,0,84,0,843.343,868.62,0,
72,849.743,2,0,84,0,868.62,885.789,18.8778,
73,850.286,3,1,85,0,885.789,898.586,35.5023,
74,859.195,4,2,85,0,898.586,899.916,39.3917,
75,879.454,4,2,87,0,899.916,907.081,20.4622,
76,881.152,5,3,88,0,907.081,908.002,25.929,
77,895.569,5,3,89,0,908.002,908.625,12.4328,
78,897.817,6,4,89,0,908.625,927.761,10.8079,
79,906.453,5,3,90,0,927.761,928.038,21.3083,
80,910.117,3,1,91,0,928.038,929.817,17.9211,
81,920.658,4,2,92,0,929.817,940.257,9.15924,
82,922.997,5,3,92,0,940.257,956.328,17.2603,
83,928.462,4,2,92,0,956.328,956.671,27.8659,
84,929.169,5,3,92,0,956.671,961.746,27.502,
85,931.213,5,3,93,0,961.746,961.784,30.5336,
86,934.841,6,4,93,0,961.784,967.119,26.9432,
87,946.071,6,4,94,0,967.119,970.643,21.0486,
88,946.825,7,5,94,0,970.643,989.148,23.8179,
89,948.628,8,6,94,0,989.148,990.716,40.5204,
90,979.562,3,1,97,0,990.716,1002.13,11.1541,
91,996.284,2,0,99,0,1002.13,1002.83,5.84387,
92,996.42,3,1,99,0,1002.83,1010.29,6.41254,
93,1015.23,1,0,101,0,1015.23,1016.07,0,
94,1018.79,1,0,101,0,1018.79,1029.93,0,
95,1020.21,2,0,102,0,1029.93,1030.46,9.71204,
96,1050.41,1,0,105,0,1050.41,1054.44,0,
97,1050.46,2,0,105,0,1054.44,1059.3,3.98328,
98,1055.57,2,0,105,0,1059.3,1072.33,3.73486,
99,1057.67,3,1,105,0,1072.33,1073.68,14.6584,
100,1060.91,3,1,106,0,1073.68,1107.22,12.7721,
101,1080.89,2,0,108,0,1107.22,1108.17,26.3325,
102,1081.19,3,1,108,0,1108.17,1109.12,26.9824,
103,1083.3,4,2,108,0,1109.12,1112.93,25.8199,
104,1083.98,5,3,108,0,1112.93,1113.3,28.9562,
105,1094.97,6,4,109,0,1113.3,1117.26,18.3304,
106,1097.18,7,5,109,0,1117.26,1118.39,20.0767,
107,1109.95,5,3,110,0,1118.39,1120.33,8.4458,
108,1115.78,4,2,111,0,1120.33,1123.83,4.55225,
109,1119.2,3,1,111,0,1123.83,1125.03,4.62585,
110,1125.07,1,0,112,0,1125.07,1129.36,0,
