Customer,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,99.944,1,0,9,0,99.944,135.075,0,
1,138.546,1,0,13,0,138.546,187.116,0,
2,147.868,2,1,14,0,187.116,207.588,39.2478,
3,178.827,3,2,17,0,207.588,239.675,28.7614,
4,232.408,2,1,23,0,239.675,273.274,7.26714,
5,244.917,2,1,24,0,273.274,313.653,28.3572,
6,277.961,2,1,27,0,313.653,325.32,35.6916,
7,341,1,0,34,0,341,352.726,0,
8,347.302,2,1,34,0,352.726,363.029,5.4238,
9,380.803,1,0,38,0,380.803,393.75,0,
10,396.347,1,0,39,0,396.347,408.207,0,
11,397.597,2,1,39,0,408.207,417.086,10.6093,
12,405.912,3,2,40,0,417.086,424.618,11.1736,
13,421.878,2,1,42,0,424.618,435.022,2.74048,
14,424.401,3,2,42,0,435.022,442.319,10.6206,
15,431.828,3,2,43,0,442.319,450.121,10.4912,
16,439.727,3,2,43,0,450.121,458.463,10.3948,
17,449.429,3,2,44,0,450.121,462.357,0.692169,
18,462.128,2,0,46,0,462.128,468.817,0,
19,500.219,1,0,50,0,500.219,507.018,0,
20,507.554,1,0,50,0,507.554,517.327,0,
21,526.052,1,0,52,0,526.052,537.09,0,
22,531.912,2,0,53,0,531.912,541.56,0,
23,534.165,3,1,53,0,537.09,548.528,2.9245,
24,535.823,4,2,53,0,541.56,550.852,5.73792,
25,553.941,1,0,55,0,553.941,560.8,0,
26,558.372,2,0,55,0,558.372,568.779,0,
27,568.624,2,0,56,0,568.624,579.665,0,
28,578.632,2,0,57,0,578.632,587.9,0,
29,586.69,2,0,58,0,586.69,595.384,0,
30,610.813,1,0,61,0,610.813,651.755,0,
31,614.485,2,0,61,0,614.485,627.347,0,
32,617.467,3,0,61,0,617.467,649.174,0,
33,617.772,4,1,61,0,620.186,657.43,2.41406,
34,620.186,5,1,62,0,627.347,653.351,7.16125,
35,625.952,6,2,62,0,649.174,689.282,23.2221,
36,628.922,6,2,62,0,651.755,692.48,22.8326,
37,636.443,7,3,63,0,653.351,696.09,16.9072,
38,646.614,8,4,64,0,657.43,672.684,10.8163,
39,652.037,7,3,65,0,672.684,711.949,20.6463,
40,660.37,6,2,66,0,689.282,721.236,28.9118,
41,683.351,6,2,68,0,692.48,743.711,9.12903,
42,709.935,4,0,70,0,709.935,738.77,0,
43,715.701,4,0,71,0,715.701,743.028,0,
44,718.997,5,1,71,0,721.236,756.43,2.2395,
45,723.886,5,1,72,0,738.77,766.961,14.8832,
46,728.717,6,2,72,0,743.028,773.086,14.3108,
47,744.364,4,0,74,0,744.364,774.214,0,
48,746.234,5,1,74,0,756.43,785.019,10.1962,
49,751.315,6,2,75,0,766.961,798.483,15.6462,
50,763.002,6,2,76,0,773.086,791.808,10.0847,
51,765.206,7,3,76,0,774.214,802.923,9.00818,
52,769.792,7,3,76,0,785.019,814.756,15.2271,
53,770.026,8,4,77,0,791.808,824.596,21.7819,
54,771.283,9,5,77,0,798.483,837.519,27.1996,
55,779.981,8,4,77,0,802.923,815.442,22.9423,
56,804.872,5,1,80,0,814.756,849.582,9.8844,
57,820.35,4,0,82,0,820.35,850.253,0,
58,822.005,5,1,82,0,824.596,843.734,2.59143,
59,846.001,3,0,84,0,846.001,861.986,0,
60,864.754,1,0,86,0,864.754,875.734,0,
61,868.624,2,0,86,0,868.624,890.11,0,
62,889.539,2,0,88,0,889.539,912.288,0,
63,890.572,2,0,89,0,890.572,918.088,0,
64,907.002,3,0,90,0,907.002,942.254,0,
65,913.898,3,0,91,0,913.898,946.387,0,
66,914.556,4,0,91,0,914.556,932.53,0,
67,918.154,4,0,91,0,918.154,948.327,0,
68,945.494,3,0,94,0,945.494,978.155,0,
69,956.421,2,0,95,0,956.421,994.532,0,
70,972.082,3,0,97,0,972.082,997.262,0,
71,972.503,4,0,97,0,972.503,1010.12,0,
72,991.24,4,0,99,0,991.24,1017.21,0,
73,991.636,5,0,99,0,991.636,1022.41,0,
74,993.056,6,1,99,0,994.532,1020.38,1.47516,
75,996.927,6,1,99,0,997.262,1030.78,0.334229,
76,1030.72,2,0,103,0,1030.72,1054.83,0,
77,1054.24,2,0,105,0,1054.24,1066.63,0,
78,1067.36,1,0,106,0,1067.36,1112.23,0,
79,1070.4,2,0,107,0,1070.4,1090.62,0,
80,1077.85,3,0,107,0,1077.85,1112.98,0,
81,1082.82,4,0,108,0,1082.82,1137.84,0,
82,1091.02,4,0,109,0,1091.02,1120.94,0,
83,1094.09,5,0,109,0,1094.09,1107.13,0,
84,1129.61,2,0,112,0,1129.61,1148.79,0,
85,1133.72,3,0,113,0,1133.72,1162.48,0,
86,1159.14,2,0,115,0,1159.14,1185.65,0,
87,1162.68,2,0,116,0,1162.68,1210.99,0,
88,1171.56,3,0,117,0,1171.56,1203.74,0,
89,1180.72,4,0,118,0,1180.72,1218.99,0,
90,1186.25,4,0,118,0,1186.25,1227.06,0,
91,1227.76,1,0,122,0,1227.76,1256.51,0,
92,1256.41,2,0,125,0,1256.41,1273.38,0,
93,1261.26,2,0,126,0,1261.26,1291.38,0,
94,1300.79,1,0,130,0,1300.79,1329.89,0,
95,1312.29,2,0,131,0,1312.29,1370.77,0,
96,1330.94,2,0,133,0,1330.94,1360.18,0,
97,1335.01,3,0,133,0,1335.01,1361.91,0,
98,1341.41,4,1,134,0,1360.18,1388.36,18.7711,
