Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time
0,26.5653,1,2,0,35.6912,74.5025,9.12591
1,68.5766,2,6,0,76.7376,106.852,8.16095
2,96.7188,2,9,0,108.221,139.639,11.5026
3,113.08,2,11,0,120.934,148.463,7.85466
4,179.007,1,17,0,191.542,199.174,12.5343
5,213.015,1,21,0,222.277,242.05,9.26181
6,321.399,1,32,0,330.921,362.048,9.52176
7,361.335,2,36,0,369.822,388.535,8.48694
8,380.993,2,38,0,388.535,421.724,7.54236
9,381.404,3,38,0,421.724,446.871,40.32
10,398.613,3,39,0,446.871,479.474,48.2574
11,430.602,3,43,0,456.829,480.033,26.2266
12,433.272,4,43,0,480.033,521.826,46.7605
13,436.587,5,43,0,479.474,503.256,42.8872
14,456.829,5,45,0,503.256,519.04,46.4269
15,464.584,6,46,0,521.826,548.184,57.2425
16,467.496,7,46,0,519.04,543.413,51.5435
17,480.047,6,48,0,543.413,582.209,63.3663
18,485.241,7,48,0,548.184,589.2,62.9438
19,488.461,8,48,0,589.2,611.648,100.739
20,489.198,9,48,0,582.209,614.824,93.0115
21,494.267,10,49,0,601.766,632.407,107.499
22,498.393,11,49,0,611.648,643,113.255
23,516.241,11,51,0,620.759,656.159,104.518
24,516.472,12,51,0,614.824,631.61,98.3525
25,520.627,12,52,0,631.61,649.002,110.983
26,528.513,12,52,0,632.407,669.493,103.894
27,533.468,13,53,0,643,666.389,109.532
28,545.952,13,54,0,649.002,687.275,103.05
29,551.065,13,55,0,656.159,680.194,105.095
30,566.071,14,56,0,666.389,702.229,100.318
31,566.752,15,56,0,669.493,698.065,102.741
32,587.138,15,58,0,680.194,702.595,93.0551
33,590.705,15,59,0,687.275,721.395,96.5697
34,591.805,16,59,0,698.065,725.372,106.26
35,608.548,17,60,0,702.595,733.52,94.0471
36,609.895,18,60,0,702.229,732.02,92.3336
37,628.284,17,62,0,721.395,764.168,93.111
38,633.994,16,63,0,725.372,755.457,91.3783
39,638.186,17,63,0,732.02,729.642,93.8339
40,656.031,16,65,0,729.642,761.596,73.6109
41,660.945,16,66,0,733.52,758.668,72.5743
42,661.687,17,66,0,755.457,778.654,93.7706
43,666.468,17,66,0,758.668,798.445,92.1995
44,667.254,18,66,0,761.596,797.037,94.342
45,668.009,19,66,0,764.168,768.878,96.1591
46,683.766,18,68,0,768.878,804.711,85.1113
47,690.724,18,69,0,778.654,807.489,87.9302
48,695.025,19,69,0,797.037,823.571,102.012
49,699.171,19,69,0,798.445,841.019,99.2738
50,703.871,18,70,0,804.711,826.357,100.84
51,706.902,19,70,0,807.489,844.633,100.586
52,717.404,20,71,0,823.571,852.577,106.167
53,725.742,19,72,0,844.633,854.241,118.891
54,726.924,20,72,0,826.357,847.736,99.4337
55,727.229,21,72,0,841.019,875.757,113.79
56,730.063,22,73,0,847.736,885.59,117.673
57,742.857,20,74,0,852.577,882.07,109.72
58,748.429,21,74,0,854.241,889.929,105.812
59,752.028,22,75,0,875.174,915.614,123.146
60,753.874,23,75,0,875.757,900.506,121.884
61,755.019,24,75,0,882.07,911.272,127.051
62,758.411,24,75,0,885.59,918.526,127.178
63,758.759,24,75,0,900.506,940.444,141.747
64,760.025,25,76,0,889.929,927.51,129.904
65,767.754,24,76,0,911.272,950.7,143.518
66,771.629,24,77,0,915.614,956.418,143.985
67,777.845,25,77,0,918.526,953.99,140.682
68,785.752,25,78,0,927.51,956.992,141.758
69,804.667,24,80,0,940.444,978.819,135.777
70,827.175,21,82,0,950.7,988.608,123.524
71,844.411,21,84,0,956.418,980.54,112.007
72,845.03,21,84,0,953.99,970.838,108.96
73,848.523,21,84,0,956.992,971.071,108.469
74,865.968,20,86,0,970.838,996.99,104.871
75,880.178,20,88,0,971.071,1010.89,90.8935
76,908.4,17,90,0,978.819,1008.67,70.4189
77,915.886,16,91,0,988.608,1019.58,72.7216
78,917.409,17,91,0,980.54,1010.75,63.1311
79,950.05,15,95,0,996.99,1038.77,46.9399
80,955.94,14,95,0,1008.67,1035.59,52.7296
81,967.564,13,96,0,1010.75,1033.27,43.1905
82,987.551,10,98,0,1010.89,1031.15,23.3421
83,1025.64,5,102,0,1034.23,1076.47,8.59314
84,1029.87,6,102,0,1040.83,1053.49,10.9631
85,1034.32,5,103,0,1044.48,1061.4,10.1537
86,1038.47,5,103,0,1049.94,1069.12,11.4679
87,1040.01,5,104,0,1045.77,1086.69,5.7666
88,1043.3,6,104,0,1061.4,1086.02,18.0974
89,1045.44,7,104,0,1053.49,1087.24,8.05103
90,1048.85,8,104,0,1069.12,1100.63,20.2732
91,1053.72,8,105,0,1076.47,1101.57,22.7493
92,1078.82,6,107,0,1088.39,1118.18,9.573
93,1088.55,4,108,0,1100.73,1120.17,12.1741
94,1099.2,5,109,0,1110.05,1133.1,10.8557
95,1103.12,4,110,0,1115.52,1136.66,12.3912
96,1119.66,4,111,0,1131.62,1159.8,11.9584
97,1155.66,2,115,0,1164.47,1189.04,8.80811
98,1170.5,2,117,0,1180.53,1208.26,10.0302
99,1174.83,3,117,0,1184.44,1189.06,9.6106
100,1194.78,2,119,0,1204.5,1234.51,9.71582
101,1251.33,1,125,0,1256.36,1284.87,5.02588
102,1257.05,2,125,0,1265.02,1277.3,7.97253
103,1292.79,1,129,0,1300.27,1340,7.48157
104,1399.01,1,139,0,1409.19,1445.47,10.1747
