Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,15.3567,1,1,0,53.0777,59.9224,37.721,
1,31.0015,2,3,0,75.2756,79.3952,44.2742,
2,35.1403,3,3,0,103.806,107.056,68.6662,
3,122.498,1,12,0,158.906,161.622,36.4079,
4,161.298,2,16,0,199.042,203.116,37.7442,
5,348.737,1,34,0,384.658,389.461,35.9203,
6,355.004,2,35,0,397.371,399.979,42.3672,
7,369.255,3,36,0,405.953,408.41,36.6979,
8,380.399,4,38,0,420.029,426.274,39.6304,
9,380.579,5,38,0,429.202,435.258,48.6228,
10,395.116,5,39,0,440.89,449.346,45.7742,
11,397.957,6,39,0,446.853,451.384,48.8961,
12,423.376,5,42,0,463.303,467.031,39.9278,
13,436.232,4,43,0,475.088,478.915,38.8551,
14,439.707,5,43,0,487.135,491.947,47.428,
15,440.336,6,44,0,500.151,505.462,59.8144,
16,444.951,7,44,0,511.725,516.003,66.7736,
17,445.079,8,44,0,526.144,532.231,81.0654,
18,454.424,7,45,0,537.059,540.661,82.6348,
19,458.941,8,45,0,548.884,554.062,89.943,
20,463.561,9,46,0,559.572,564.389,96.0108,
21,466.63,10,46,0,568.903,576.369,102.273,
22,483.222,9,48,0,576.217,583.709,92.995,
23,496.271,9,49,0,589.014,593.892,92.7436,
24,506.638,9,50,0,605.25,609.115,98.612,
25,510.989,10,51,0,631.536,634.878,120.547,
26,521.015,10,52,0,632.313,643.902,111.298,
27,530.656,11,53,0,643.895,650.232,113.239,
28,564.612,8,56,0,671.781,676.741,107.169,
29,565.22,9,56,0,666.54,670.981,101.32,
30,566.136,10,56,0,697.209,702.224,131.073,
31,573.551,11,57,0,688.769,691.19,115.218,
32,582.719,11,58,0,702.246,706.677,119.528,
33,584.04,11,58,0,717.046,722.83,133.006,
34,586.252,12,58,0,718.358,723.213,132.106,
35,597.62,12,59,0,728.639,732.805,131.019,
36,600.355,13,60,0,743.204,746.713,142.849,
37,601.781,14,60,0,754.999,757.745,153.219,
38,602.291,15,60,0,792.29,796.795,189.999,
39,611.849,15,61,0,776.469,784.854,164.62,
40,619.36,16,61,0,787.532,790.405,168.171,
41,620.801,17,62,0,801.256,806.816,180.455,
42,638.092,17,63,0,816.137,821.219,178.044,
43,638.485,18,63,0,837.191,842.713,198.705,
44,639.128,19,63,0,862.514,865.155,223.386,
45,643.287,20,64,0,871.1,876.178,227.813,
46,649.458,20,64,0,882.749,887.096,233.291,
47,656.036,20,65,0,878.863,889.182,222.827,
48,660.535,21,66,0,894.346,901.776,233.811,
49,661.01,22,66,0,914.696,918.223,253.687,
50,664.807,23,66,0,912.79,915.708,247.983,
51,675.733,23,67,0,923.585,926.439,247.852,
52,680.549,23,68,0,953.515,956.068,272.966,
53,683.457,24,68,0,975.936,984.438,292.479,
54,686.804,25,68,0,994.057,999.601,307.253,
55,690.431,26,69,0,989.006,993.74,298.576,
56,696.38,26,69,0,991.186,993.988,294.805,
57,712.579,25,71,0,1030.14,1033.9,317.566,
58,747.539,22,74,0,1015.38,1019.29,267.842,
59,760.691,22,76,0,1044.87,1055.76,284.18,
60,774.69,23,77,0,1036.19,1041.33,261.503,
61,776.521,24,77,0,1052.02,1055.55,275.503,
62,783.528,25,78,0,1090.26,1098.6,306.734,
63,785.768,25,78,0,1087,1096.76,301.231,
64,787.673,26,78,0,1085.81,1094.82,298.134,
65,793.936,26,79,0,1113.03,1116.34,319.09,
66,794.194,27,79,0,1109.6,1115.82,315.406,
67,802.033,27,80,0,1141.92,1146.53,339.883,
68,808.953,27,80,0,1140.51,1144.18,331.561,
69,815.047,28,81,0,1149.24,1154.29,334.196,
70,830.043,28,83,0,1161.74,1163.93,331.702,
71,832.299,29,83,0,1174.24,1179.56,341.939,
72,837.684,30,83,0,1187.09,1192.72,349.402,
73,841.047,31,84,0,1219.45,1223.39,378.401,
74,867.003,30,86,0,1202.2,1205.98,335.201,
75,867.26,31,86,0,1212.67,1215.99,345.412,
76,867.806,32,86,0,1226.27,1232.79,358.46,
77,874.348,33,87,0,1237.31,1242.26,362.958,
78,881.224,33,88,0,1284.16,1287.86,402.937,
79,885.405,34,88,0,1262.3,1264.62,376.9,
80,896.441,33,89,0,1282.95,1287.38,386.506,
81,931.973,30,93,0,1307.85,1313.31,375.879,
82,933.441,31,93,0,1335.23,1338.6,401.785,
83,947.082,32,94,0,1318.91,1321.99,371.833,
84,956.755,32,95,0,1328.17,1331.57,371.419,
85,960.242,33,96,0,1350.92,1355.08,390.679,
86,973.787,34,97,0,1353.07,1356.51,379.285,
87,981.083,35,98,0,1365.11,1368.33,384.027,
88,988.322,35,98,0,1379.75,1382.68,391.427,
89,994.51,34,99,0,1407.72,1410.61,413.212,
90,995.961,35,99,0,1427.66,1435.38,431.696,
91,1057.24,30,105,0,1410.67,1414.24,353.427,
92,1062.52,31,106,0,1440.22,1444.17,377.703,
93,1067.41,32,106,0,1437.98,1440.08,370.572,
94,1075.38,33,107,0,1451.63,1453.77,376.25,
95,1085.92,34,108,0,1462.31,1465.84,376.391,
96,1088.09,35,108,0,1494.1,1497.79,406.008,
97,1098.01,34,109,0,1498.2,1505.47,400.189,
98,1102.72,34,110,0,1512.83,1519.28,410.119,
99,1129.64,33,112,0,1527.94,1530.5,398.298,
100,1132.65,34,113,0,1527.42,1532.45,394.766,
101,1151.29,33,115,0,1559.27,1562.93,407.98,
102,1175.69,32,117,0,1550.46,1555.81,374.775,
103,1268.52,25,126,0,1572.56,1575.9,304.033,
104,1275.88,26,127,0,1583.88,1586.73,308.001,
105,1329.28,23,132,0,1595.99,1600.38,266.712,
106,1338.73,22,133,0,1605.36,1609.68,266.635,
107,1373.9,20,137,0,1641.08,1646.64,267.18,
108,1442.74,16,0,1,1623.77,1626.63,181.031,
109,1552.84,9,11,1,1635.62,1639.73,82.7847,
110,1604.31,5,16,1,1646.29,1649.95,41.9865,
111,1638.11,4,19,1,1681.03,1684.6,42.9203,
112,1681.52,2,24,1,1728.56,1731.29,47.0321,
113,1715.87,2,27,1,1750.21,1754.66,34.3467,
114,1726.59,3,28,1,1756.39,1760.64,29.7964,
115,1733.94,3,29,1,1761.78,1767.86,27.838,
116,1787.4,1,34,1,1828.24,1832.21,40.8375,
117,1806.58,2,36,1,1841.96,1853.62,35.382,
118,1810.35,3,37,1,1854.82,1857.14,44.4712,
119,1814.2,4,37,1,1861.49,1865.32,47.2855,
120,1819.27,5,37,1,1883.06,1885.94,63.7903,
121,1836.63,5,39,1,1886.86,1895.84,50.2285,
122,1867.32,3,42,1,1904.6,1912.58,37.2789,
123,1890.58,3,45,1,1924.31,1934.05,33.7305,
124,1923.28,2,48,1,1955.65,1959.38,32.3658,
125,1961.55,1,52,1,1998.07,2002.84,36.5238,
126,1966.22,2,52,1,2009.12,2016.75,42.902,
127,1999.34,3,55,1,2035.56,2040.41,36.2206,
128,1999.91,4,55,1,2051.79,2054.56,51.8846,
129,2015.25,4,57,1,2090.52,2093.21,75.2653,
130,2035.53,4,59,1,2074.11,2081.3,38.5789,
131,2037.47,5,59,1,2093.39,2096.65,55.9196,
