Customer ID,Prority Level,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,7,0.786985,1,0,0,0,0.786985,25.7696,0,
1,4,12.3756,2,0,1,0,12.3756,37.9917,0,
2,4,26.499,2,0,2,0,26.499,53.1461,0,
3,0,43.4367,2,0,4,0,43.4367,56.0975,0,
4,5,45.3975,3,0,4,0,45.3975,77.4739,0,
5,3,49.703,4,0,4,0,49.703,89.6826,0,
6,2,50.6475,5,0,5,0,50.6475,84.3447,0,
7,8,52.3933,6,0,5,0,53.1461,57.8334,0.752792,
8,2,61.0762,4,0,6,0,61.0762,82.8541,0,
9,8,82.1641,4,0,8,0,82.1641,99.7466,0,
10,16,83.2828,4,0,8,0,83.2828,98.7836,0,
11,1,97.9039,3,0,9,0,97.9039,123.435,0,
12,5,103.77,2,0,10,0,103.77,134.861,0,
13,7,105.068,3,0,10,0,105.068,136.197,0,
14,3,105.896,4,0,10,0,105.896,145.462,0,
15,15,111.792,5,0,11,0,111.792,118.246,0,
16,13,120.826,5,0,12,0,120.826,140.599,0,
17,9,120.906,6,0,12,0,123.435,149.624,2.52921,
18,9,125.374,6,0,12,0,136.197,128.071,10.823,
19,10,127.96,7,1,12,0,128.071,163.83,0.111809,
20,3,132.604,8,2,13,0,134.861,163.614,2.25757,
21,12,136.206,6,0,13,0,140.599,152.738,4.39229,
22,2,157.675,3,0,15,0,157.675,183.626,0,
23,19,162.044,4,0,16,0,162.044,197.693,0,
24,17,178.436,3,0,17,0,178.436,205.279,0,
25,19,181.663,4,0,18,0,181.663,216.838,0,
26,2,190.462,4,0,19,0,190.462,225.371,0,
27,14,192.038,5,0,19,0,192.038,203.488,0,
28,9,201.51,5,0,20,0,201.51,233.455,0,
29,12,202.447,6,0,20,0,203.488,229.611,1.04086,
30,12,214.658,5,0,21,0,214.658,250.049,0,
31,1,261.079,1,0,26,0,261.079,273.627,0,
32,0,265.395,2,0,26,0,265.395,302.568,0,
33,18,267.953,3,0,26,0,267.953,302.252,0,
34,5,270.791,4,0,27,0,270.791,297.261,0,
35,19,273.704,4,0,27,0,273.704,308.739,0,
36,13,275.079,5,0,27,0,275.079,305.779,0,
37,14,279.681,6,0,27,0,302.568,309.006,22.8866,
38,0,281.029,7,1,28,0,297.261,322.619,16.2317,
39,14,290.569,8,2,29,0,305.779,311.553,15.2107,
40,10,293.86,9,3,29,0,302.252,312.287,8.39178,
41,10,314.393,2,0,31,0,314.393,322.072,0,
42,2,335.926,1,0,33,0,335.926,344.046,0,
43,16,337.303,2,0,33,0,337.303,344.587,0,
44,11,342.707,3,0,34,0,342.707,352.137,0,
45,5,343.8,4,0,34,0,343.8,353.221,0,
46,2,348.354,3,0,34,0,348.354,355.395,0,
47,13,366.839,1,0,36,0,366.839,378.55,0,
48,14,367.184,2,0,36,0,367.184,374.942,0,
49,7,370.111,3,0,37,0,370.111,380.989,0,
50,14,372.088,4,0,37,0,372.088,380.353,0,
51,14,373.592,5,0,37,0,373.592,384.572,0,
52,16,373.961,6,0,37,0,374.942,382.651,0.98056,
53,13,375.776,6,0,37,0,378.55,387.026,2.77374,
54,3,379.404,6,0,37,0,380.353,390.81,0.949127,
55,1,392.771,1,0,39,0,392.771,402.584,0,
56,12,392.982,2,0,39,0,392.982,403.299,0,
57,14,417.993,1,0,41,0,417.993,426.7,0,
58,14,419.243,2,0,41,0,419.243,428.796,0,
59,13,427.711,2,0,42,0,427.711,436.043,0,
60,17,450.218,1,0,45,0,450.218,456.119,0,
61,11,452.089,2,0,45,0,452.089,462.596,0,
62,2,460.694,2,0,46,0,460.694,469.473,0,
63,6,508.92,1,0,50,0,508.92,518.632,0,
64,18,522.161,1,0,52,0,522.161,532.133,0,
65,17,525.569,2,0,52,0,525.569,533.313,0,
66,18,537.764,1,0,53,0,537.764,550.005,0,
67,16,543.861,2,0,54,0,543.861,554.205,0,
68,15,550.512,2,0,55,0,550.512,562.232,0,
69,3,556.884,2,0,55,0,556.884,569.218,0,
70,4,566.381,2,0,56,0,566.381,577.257,0,
71,3,567.525,3,0,56,0,567.525,576.442,0,
72,6,579.855,1,0,57,0,579.855,590.071,0,
73,12,592.073,1,0,59,0,592.073,601.765,0,
74,9,597.088,2,0,59,0,597.088,604.497,0,
75,12,603.843,2,0,60,0,603.843,629.701,0,
76,9,611.666,2,0,61,0,611.666,650.257,0,
77,1,625.15,3,0,62,0,625.15,649.067,0,
78,0,625.189,4,0,62,0,625.189,640.364,0,
79,4,631.645,4,0,63,0,631.645,669.108,0,
80,12,639.163,5,0,63,0,639.163,672.863,0,
81,18,643.488,5,0,64,0,643.488,685.204,0,
82,9,644.408,6,0,64,0,649.067,679.575,4.6593,
83,8,662.727,5,0,66,0,662.727,693.81,0,
84,18,684.963,3,0,68,0,684.963,718.477,0,
85,10,690.51,3,0,69,0,690.51,693.805,0,
86,2,692.497,4,0,69,0,692.497,706.415,0,
87,1,717.489,2,0,71,0,717.489,733.884,0,
88,11,734.879,1,0,73,0,734.879,759.687,0,
89,6,756.175,2,0,75,0,756.175,791.1,0,
90,19,759.035,3,0,75,0,759.035,783.866,0,
91,17,762.938,3,0,76,0,762.938,784.37,0,
92,19,783.167,4,0,78,0,783.167,818.436,0,
93,10,788.371,3,0,78,0,788.371,825.796,0,
94,3,794.812,3,0,79,0,794.812,819.655,0,
95,3,794.857,4,0,79,0,794.857,816.664,0,
96,18,838.704,1,0,83,0,838.704,863.783,0,
97,19,861.355,2,0,86,0,861.355,888.992,0,
98,2,876.846,2,0,87,0,876.846,905.625,0,
99,6,890.672,2,0,89,0,890.672,910.31,0,
100,5,891.551,3,0,89,0,891.551,920.124,0,
101,3,896.908,4,0,89,0,896.908,929.991,0,
102,3,900.971,5,0,90,0,900.971,927.037,0,
103,13,916.803,4,0,91,0,916.803,934.999,0,
104,17,920.905,4,0,92,0,920.905,948.812,0,
105,0,925.08,5,0,92,0,925.08,957.723,0,
106,18,929.184,5,0,92,0,929.184,963.535,0,
107,6,929.76,6,0,92,0,929.991,942.155,0.230957,
108,5,931.284,6,0,93,0,934.999,958.102,3.71521,
109,11,941.856,6,0,94,0,942.155,961.292,0.298889,
110,17,948.938,5,0,94,0,948.938,989.956,0,
111,0,952.377,6,0,95,0,957.723,982.055,5.34583,
112,3,958.231,5,0,95,0,958.231,997.713,0,
113,17,965.351,4,0,96,0,965.351,976.164,0,
114,7,968.107,5,0,96,0,968.107,1001.56,0,
115,19,970.796,6,0,97,0,976.164,1010.29,5.36835,
116,17,982.222,5,0,98,0,982.222,1014.65,0,
117,15,995.605,5,0,99,0,995.605,1029.19,0,
118,0,1001.82,4,0,100,0,1001.82,1043.75,0,
119,9,1027.03,3,0,102,0,1027.03,1034.16,0,
120,6,1027.76,4,0,102,0,1027.76,1062.24,0,
121,16,1028.19,5,0,102,0,1028.19,1047.19,0,
122,7,1031.54,5,0,103,0,1031.54,1064.45,0,
123,14,1038.77,5,0,103,0,1038.77,1052.88,0,
124,19,1045.62,5,0,104,0,1045.62,1071.1,0,
125,16,1064.15,3,0,106,0,1064.15,1087.62,0,
126,0,1067.01,3,0,106,0,1067.01,1070.78,0,
127,10,1075.57,2,0,107,0,1075.57,1089.02,0,
128,11,1087.39,3,0,108,0,1087.39,1118.07,0,
129,9,1098.55,2,0,109,0,1098.55,1139.65,0,
130,8,1099.03,3,0,109,0,1099.03,1134.11,0,
131,11,1099.89,4,0,109,0,1099.89,1126.84,0,
132,11,1110.36,5,0,111,0,1110.36,1145.47,0,
133,19,1120.92,5,0,112,0,1120.92,1157.94,0,
134,18,1123.64,6,0,112,0,1126.84,1166.12,3.19226,
135,15,1144.25,4,0,114,0,1144.25,1170.14,0,
136,16,1149.4,4,0,114,0,1149.4,1175.59,0,
137,7,1150.3,5,0,115,0,1150.3,1177.91,0,
138,18,1166.72,4,0,116,0,1166.72,1194.38,0,
139,15,1174.07,4,0,117,0,1174.07,1200.31,0,
140,10,1175.42,5,0,117,0,1175.42,1198.86,0,
141,17,1182.64,4,0,118,0,1182.64,1213.39,0,
142,17,1182.75,5,0,118,0,1182.75,1205.87,0,
143,16,1193.71,6,0,119,0,1194.38,1232.04,0.665894,
144,1,1238.64,1,0,123,0,1238.64,1277.49,0,
145,8,1243.28,2,0,124,0,1243.28,1269.84,0,
146,15,1250.77,3,0,125,0,1250.77,1274.47,0,
147,3,1253.01,4,0,125,0,1253.01,1280.5,0,
148,1,1256.09,5,0,125,0,1256.09,1294.09,0,
149,17,1274.85,4,0,127,0,1274.85,1294.24,0,
150,7,1275.22,5,0,127,0,1275.22,1302.55,0,
151,5,1283.36,4,0,128,0,1283.36,1310.06,0,
152,3,1300.14,3,0,130,0,1300.14,1333.3,0,
153,3,1300.3,4,0,130,0,1300.3,1333.19,0,
154,5,1302.5,5,0,130,0,1302.5,1331.07,0,
155,13,1311.48,4,0,131,0,1311.48,1349.51,0,
156,8,1313.9,5,0,131,0,1313.9,1326.86,0,
157,11,1319.49,6,0,131,0,1333.19,1357.17,13.7061,
158,4,1326.21,7,1,132,0,1326.86,1350.16,0.650146,
159,6,1329.29,7,1,132,0,1331.07,1358.28,1.77771,
160,19,1333.82,5,0,133,0,1333.82,1370.98,0,
161,4,1337.53,6,0,133,0,1350.16,1353.23,12.6316,
162,0,1340.6,7,1,134,0,1349.51,1375.93,8.9126,
163,16,1348.87,8,2,134,0,1357.17,1392.02,8.30566,
164,5,1352.65,7,1,135,0,1353.23,1377.1,0.585693,
165,9,1370.35,5,0,137,0,1370.35,1400.17,0,
166,7,1383.44,3,0,138,0,1383.44,1414.49,0,
167,19,1386.19,4,0,138,0,1386.19,1419.96,0,
168,4,1398.31,4,0,139,0,1398.31,1421.4,0,
169,9,1402.33,4,0,140,0,1402.33,1424.47,0,
170,2,1410.2,5,0,141,0,1410.2,1438.9,0,
171,2,1431.14,2,0,143,0,1431.14,1469.9,0,
172,15,1431.75,3,0,143,0,1431.75,1452.36,0,
173,0,1432.27,4,0,143,0,1432.27,1456.94,0,
174,14,1445.67,4,0,0,1,1445.67,1482.06,0,
175,4,1462.58,3,0,2,1,1462.58,1492.52,0,
176,13,1464.85,4,0,2,1,1464.85,1493.96,0,
177,11,1467.23,5,0,2,1,1467.23,1485.37,0,
178,16,1467.35,6,0,2,1,1469.9,1502.35,2.55322,
179,6,1476.02,6,0,3,1,1482.06,1482.41,6.03833,
180,19,1480.83,7,1,4,1,1482.41,1497.46,1.57446,
181,11,1487.4,5,0,4,1,1487.4,1526.41,0,
182,7,1537.12,1,0,9,1,1537.12,1564.62,0,
183,2,1547.77,2,0,10,1,1547.77,1566.04,0,
184,5,1578.05,1,0,13,1,1578.05,1604.05,0,
185,15,1578.2,2,0,13,1,1578.2,1595.11,0,
186,4,1581.7,3,0,14,1,1581.7,1621.86,0,
187,7,1593.13,4,0,15,1,1593.13,1632.65,0,
188,14,1614.12,3,0,17,1,1614.12,1642.65,0,
189,5,1621.73,4,0,18,1,1621.73,1650.07,0,
190,5,1623.03,4,0,18,1,1623.03,1653.08,0,
191,1,1629.7,5,0,18,1,1629.7,1659.81,0,
192,1,1631.41,6,0,19,1,1632.65,1654.87,1.24512,
193,7,1638.11,6,0,19,1,1650.07,1684.11,11.9547,
194,6,1642.51,7,1,20,1,1642.65,1683.51,0.138794,
195,7,1650.35,6,0,21,1,1653.08,1689.95,2.73401,
196,0,1654.13,6,0,21,1,1654.87,1687.55,0.743652,
197,5,1655.29,6,0,21,1,1659.81,1688.57,4.52161,
198,7,1667.9,6,0,22,1,1684.11,1698.93,16.217,
199,17,1668.55,7,1,22,1,1689.95,1727,21.4032,
200,3,1670.78,8,2,23,1,1683.51,1722.27,12.7261,
201,12,1680.43,9,3,24,1,1688.57,1722,8.13538,
202,11,1686.86,8,2,24,1,1687.55,1729.55,0.691772,
203,1,1696.32,6,0,25,1,1698.93,1725.5,2.60168,
204,8,1738.83,1,0,29,1,1738.83,1766.36,0,
205,1,1751.36,2,0,31,1,1751.36,1762.78,0,
206,17,1752.64,3,0,31,1,1752.64,1764.26,0,
207,9,1755.3,4,0,31,1,1755.3,1762.45,0,
208,18,1755.75,5,0,31,1,1755.75,1765.49,0,
209,15,1756.89,6,0,31,1,1762.45,1769.27,5.56555,
210,2,1769.88,1,0,32,1,1769.88,1781.76,0,
211,18,1775.26,2,0,33,1,1775.26,1782.41,0,
212,15,1786.83,1,0,34,1,1786.83,1797.97,0,
213,17,1820.44,1,0,38,1,1820.44,1831.61,0,
214,6,1828.59,2,0,38,1,1828.59,1836.32,0,
215,7,1832.87,2,0,39,1,1832.87,1845.39,0,
216,5,1839.41,2,0,39,1,1839.41,1850.37,0,
217,14,1853.56,1,0,41,1,1853.56,1865.02,0,
218,12,1870.53,1,0,43,1,1870.53,1879.04,0,
219,8,1919.61,1,0,47,1,1919.61,1929.28,0,
220,10,1942.34,1,0,50,1,1942.34,1951.13,0,
221,9,1946.74,2,0,50,1,1946.74,1954.82,0,
222,14,1950.06,3,0,51,1,1950.06,1959.56,0,
223,16,1952.64,3,0,51,1,1952.64,1960.36,0,
224,2,1971.09,1,0,53,1,1971.09,1979.81,0,
225,10,1973.97,2,0,53,1,1973.97,1981.9,0,
226,15,1989.06,1,0,54,1,1989.06,2001.01,0,
227,10,1997.88,2,0,55,1,1997.88,2008.43,0,
228,2,2004.05,2,0,56,1,2004.05,2015.96,0,
229,11,2010.16,2,0,57,1,2010.16,2018.97,0,
230,1,2015.22,3,0,57,1,2015.22,2025.35,0,
231,11,2031.88,1,0,59,1,2031.88,2042.83,0,
232,5,2033.66,2,0,59,1,2033.66,2044.35,0,
233,0,2046.97,1,0,60,1,2046.97,2076.33,0,
234,2,2056.26,2,0,61,1,2056.26,2088.92,0,
235,16,2060.81,3,0,62,1,2060.81,2080.47,0,
236,19,2063.48,4,0,62,1,2063.48,2095.05,0,
237,8,2072.49,5,0,63,1,2072.49,2093.65,0,
238,11,2074.18,6,0,63,1,2076.33,2101.25,2.15308,
239,2,2107.92,1,0,66,1,2107.92,2132.48,0,
240,4,2109.35,2,0,66,1,2109.35,2147.95,0,
241,15,2109.54,3,0,66,1,2109.54,2139.62,0,
242,1,2111.57,4,0,67,1,2111.57,2131.13,0,
243,1,2111.68,5,0,67,1,2111.68,2144.5,0,
244,3,2121.32,6,0,68,1,2131.13,2173.66,9.81543,
245,0,2133.6,5,0,69,1,2133.6,2160.62,0,
246,0,2137.59,6,0,69,1,2139.62,2160.97,2.03955,
