Customer ID,Priority Level,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Number of people at station 0 at arrival,Number of people in queue at station 0 at arrival,Number of active servers in station 0,Number of people at station 1 at arrival,Number of people in queue at station 1 at arrival,Number of active servers in station 1,Time of start of service,Departure time,Wait time,
0,1,14.186,1,1,0,1,0,1,0,0,1,26.2704,38.7603,12.0844,
1,0,18.1284,2,1,0,2,1,1,0,0,1,38.7603,52.9315,20.6319,
2,3,30.266,3,3,0,2,1,1,1,0,1,52.9315,65.0989,22.6655,
3,2,82.0546,1,8,0,1,0,1,0,0,1,94.4126,105.864,12.358,
4,3,130.88,1,13,0,1,0,1,0,0,1,142.916,156.413,12.0359,
5,1,234.052,1,23,0,1,0,1,0,0,1,247.704,259.483,13.6526,
6,0,269.385,1,26,0,1,0,1,0,0,1,281.202,296.813,11.8162,
7,2,318.375,1,31,0,1,0,1,0,0,1,330.374,339.856,11.9986,
8,3,355.973,1,35,0,1,0,1,0,0,1,367.676,378.086,11.7031,
9,0,435.237,1,43,0,1,0,1,0,0,1,444.137,456.202,8.90079,
10,3,446.059,2,44,0,1,0,1,1,0,1,456.202,466.137,10.143,
11,2,450.482,3,45,0,2,1,1,1,0,1,469.25,482.046,18.7684,
12,3,461.864,3,46,0,2,1,1,1,0,1,494.186,508.116,32.3224,
13,0,464.413,4,46,0,3,2,1,1,0,1,482.046,492.8,17.633,
14,3,468.626,4,46,0,4,3,1,0,0,1,528.758,540.398,60.1314,
15,3,473.59,5,47,0,4,3,1,1,0,1,652.005,664.14,178.414,
16,1,488.747,5,48,0,4,3,1,1,0,1,508.116,519.493,19.3683,
17,2,488.881,6,48,0,5,4,1,1,0,1,519.493,528.758,30.6117,
18,3,506.355,6,50,0,4,3,1,2,1,1,703.012,719.584,196.657,
19,0,523.662,5,52,0,4,3,1,1,0,1,542.922,554.056,19.2601,
20,2,525.271,6,52,0,5,4,1,1,0,1,615.954,630.988,90.6826,
21,1,526.717,7,52,0,5,4,1,2,1,1,579.209,590.142,52.4919,
22,0,527.045,8,52,0,6,5,1,2,1,1,554.784,564.312,27.7394,
23,0,527.05,9,52,0,7,6,1,2,1,1,565.458,579.209,38.4082,
24,1,556.238,7,55,0,6,5,1,1,0,1,590.149,601.12,33.9109,
25,3,584.644,6,58,0,5,4,1,1,0,1,729.264,739.516,144.62,
26,0,586.482,7,58,0,6,5,1,1,0,1,603.725,613.759,17.2429,
27,1,613.691,6,61,0,5,4,1,1,0,1,630.988,640.411,17.2973,
28,3,617.612,6,61,0,5,4,1,1,0,1,739.516,752.53,121.903,
29,0,619.951,7,61,0,6,5,1,1,0,1,640.411,651.265,20.4604,
30,3,630.462,8,63,0,6,5,1,2,1,1,752.53,766.566,122.068,
31,3,632.979,8,63,0,7,6,1,1,0,1,1140.88,1157.59,507.905,
32,3,639.88,9,63,0,7,6,1,2,1,1,1232.26,1244.75,592.381,
33,1,646.436,9,64,0,8,7,1,1,0,1,676.936,690.897,30.4995,
34,0,651.281,9,65,0,9,8,1,0,0,1,664.14,675.89,12.8592,
35,3,653.965,10,65,0,9,8,1,1,0,1,1244.75,1255.76,590.786,
36,1,657.218,11,65,0,10,9,1,1,0,1,690.897,703.012,33.6785,
37,1,687.877,10,68,0,8,7,1,2,1,1,719.584,729.264,31.7072,
38,3,687.93,11,68,0,9,8,1,2,1,1,1255.76,1269.76,567.833,
39,3,727.831,9,72,0,7,6,1,2,1,1,1269.76,1278.97,541.933,
40,1,734.479,9,73,0,7,6,1,2,1,1,850.722,860.36,116.243,
41,0,743.148,9,74,0,7,6,1,2,1,1,766.566,777.659,23.4179,
42,0,749.614,10,74,0,8,7,1,2,1,1,777.659,787.917,28.0446,
43,0,760.313,10,76,0,8,7,1,2,1,1,787.917,801.263,27.6037,
44,1,760.572,11,76,0,9,8,1,2,1,1,860.36,870.675,99.7878,
45,0,762.974,12,76,0,10,9,1,2,1,1,801.263,815.853,38.2882,
46,0,770.495,12,77,0,10,9,1,2,1,1,815.853,825.77,45.3586,
47,1,782.574,12,78,0,10,9,1,2,1,1,870.675,880.159,88.1017,
48,2,789.06,12,78,0,10,9,1,2,1,1,922.3,932.314,133.24,
49,0,790.381,13,79,0,11,10,1,2,1,1,825.77,838.929,35.3895,
50,2,791.065,14,79,0,12,11,1,2,1,1,946.705,959.429,155.64,
51,0,796.67,15,79,0,13,12,1,2,1,1,838.929,850.722,42.2594,
52,1,805.361,15,80,0,13,12,1,2,1,1,895.558,911.82,90.1973,
53,0,854.62,12,85,0,10,9,1,2,1,1,880.159,895.558,25.5383,
54,2,855.829,13,85,0,11,10,1,2,1,1,959.429,969.527,103.6,
55,1,870.158,13,87,0,11,10,1,2,1,1,911.82,922.3,41.6627,
56,2,889.177,12,88,0,11,10,1,1,0,1,969.527,980.869,80.3491,
57,3,904.262,12,90,0,11,10,1,1,0,1,1291.08,1305.9,386.814,
58,1,910.122,13,91,0,11,10,1,2,1,1,932.314,946.705,22.1916,
59,3,926.982,12,92,0,11,10,1,1,0,1,1305.9,1315.84,378.917,
60,3,932.016,13,93,0,11,10,1,2,1,1,1315.84,1325.81,383.821,
61,2,946.515,13,94,0,11,10,1,2,1,1,1006.34,1020.47,59.8273,
